BankID,Bank,Place
B00001,First Commercial Bank, United States
B00002,Fidelity Bank, Ghana
B00003,First Commercial Bank, Taiwan
B00004,Citizens Republic Bancorp, United States
B00005,CNLBancshares, United States
B00006,Codorus Valley Bancorp, United States
B00007,Columbia Bancorp, United States
B00008,Community Bank System, United States
B00009,Community First Bancshares, United States
B00010,Community First Bancshares, United States
B00011,Community Trust Financial Corporation, United States
B00012,CU Bancorp, United States
B00013,Cumberland Valley Financial Corporation, United States
B00014,D. L. Evans Bancorp, United States
B00015,Denmark Bancshares, United States
B00016,Diamond Bancorp, United States
B00017,Discover Financial Services, United States
B00018,Eagle Bancorp, United States
B00019,Equity Bancshares, United States
B00020,ESB Bancorp, United States
B00021,EverBank, United States
B00022,Extraco Corporation, United States
B00023,F & M Bancorporation, United States
B00024,Farmers & Merchants Bancorp, United States
B00025,Farmers & Merchants Bank of Long Beach, United States
B00026,Farmers & Merchants Investment, United States
B00027,Farmers Bancorp Frankfort Indiana, United States
B00028,Farmers Bancorporation, United States
B00029,Farmers Capital Bank Corporation, United States
B00030,Farmers Enterprises, United States
B00031,Fentura Financial, United States
B00032,Fidelity Bancshares, United States
B00033,Financial Institutions, United States
B00034,First Arkansas BancShares, United States
B00035,First Bancorp, United States
B00036,First Bancorp, United States
B00037,First Bancshares, United States
B00038,First Business Financial Services, United States
B00039,First California Financial Group, United States
B00040,First Co Bancorp, United States
B00041,First Community Bancshares, United States
B00042,First Community Financial Partners, United States
B00043,First Farmers Financial Corporation, United States
B00044,First Financial Holdings, United States
B00045,First National Bankers Bankshares, United States
B00046,First State Bancshares, United States
B00047,Forcht Bancorp, United States
B00048,Fox Chase Bancorp, United States
B00049,Hamilton State Bancshares, United States
B00050,Happy Bancshares, United States
B00051,Heritage Oaks Bancorp, United States
B00052,Home Federal Bancorp, United States
B00053,Hopfed Bancorp, United States
B00054,Hyde Park Bancorp, United States
B00055,Ida Grove Bancshares, United States
B00056,Independence Bancshares, United States
B00057,Independent Bank Group, United States
B00058,Industry Bancshares, United States
B00059,Ironhorse Financial Group, United States
B00060,Marlin Business Services Corp, United States
B00061,Midland States Bancorp, United States
B00062,Monarch financial Holdings, United States
B00063,Morrill Bancshares, United States
B00064,New Hampshire Mutual Bancorp, United States
B00065,Newbridge Bancorp, United States
B00066,Newburyport Five Cents Bancorp, United States
B00067,Nextier Incorporated, United States
B00068,Old Florida Bancshares, United States
B00069,Orrstown Financial Services, United States
B00070,Parke Bancorp, United States
B00071,Raymond James Financial, United States
B00072,Southern Missouri Bancorp, United States
B00073,Spirit Bankcorp, United States
B00074,Square 1 Financial, United States
B00075,State Capital Corporation, United States
B00076,Stellarone Corporation, United States
B00077,Strategic Growth Bank Incorporated, United States
B00078,Summit Bancorp, United States
B00079,USAmeriBancorp, United States
B00080,Villages Bancorporation, United States
B00081,Washingtonfirst Bankshares, United States
B00082,Vietnam Construction Bank, Vietnam
B00083,Aareal Bank, Germany
B00084,Aargauische Kantonalbank, Switzerland
B00085,AB SEB bankas, Lithuania
B00086,ABA Bank, Cambodia
B00087,Abanka Vipa, Slovenia
B00088,ABC Banking Corporation, Mauritius
B00089,ABC International Bank, United Kingdom
B00090,ABC Islamic Bank, Bahrain
B00091,ABI Bank, Antigua and Barbuda
B00092,ABLV Bank, Latvia
B00093,ABN AMRO Bank China, China
B00094,ABN AMRO Group, Netherlands
B00095,Absolut Bank, Russia
B00096,Absolutbank, Belarus
B00097,Abu Dhabi Commercial Bank, United Arab Emirates
B00098,Abu Dhabi Commercial Bank India, India
B00099,Abu Dhabi Islamic Bank, United Arab Emirates
B00100,Abu Dhabi Islamic Bank Egypt, Egypt
B00101,ACBA Leasing Credit organization, Armenia
B00102,ACBA-Credit Agricole Bank, Armenia
B00103,Accent Bank, Ukraine
B00104,Access Bank (Nigeria), Nigeria
B00105,Access Bank Ghana, Ghana
B00106,Access Bank Group, Nigeria
B00107,Access Bank Rwanda, Rwanda
B00108,Access Bank Zambia, Zambia
B00109,AccessBank Azerbaijan, Azerbaijan
B00110,AccessBank Liberia, Liberia
B00111,Achmea Bank, Netherlands
B00112,Achmea Hypotheekbank, Netherlands
B00113,Acleda Bank, Cambodia
B00114,Acleda Bank Laos, Laos
B00115,Acleda Bank Myanmar, Myanmar
B00116,ACNB Corp, United States
B00117,Adabank, Turkey
B00118,Adam Bank Group, United States
B00119,Adria Bank, Austria
B00120,Aegean Baltic Bank, Greece
B00121,Affin Bank, Malaysia
B00122,Affin Islamic Bank, Malaysia
B00123,Afghan United Bank, Afghanistan
B00124,Afghanistan International Bank, Afghanistan
B00125,AFNB Holdings, United States
B00126,AfrAsia Bank, Mauritius
B00127,African Bank, South Africa
B00128,African Banking Corporation, Kenya
B00129,African Banking Corporation Holdings, Botswana
B00130,African Banking Corporation Mozambique, Mozambique
B00131,African Banking Corporation Tanzania, Tanzania
B00132,African Banking Corporation Uganda, Uganda
B00133,African Banking Corporation Zambia, Zambia
B00134,African Banking Corporation Zimbabwe, Zimbabwe
B00135,African Export Import Bank, Egypt
B00136,Afriland First Bank, Cameroon
B00137,AGBAnk, Azerbaijan
B00138,Agrani Bank, Bangladesh
B00139,Agricultural Bank of China, China
B00140,Agricultural Bank of Libya, Libya
B00141,Agricultural Bank of Namibia, Namibia
B00142,Agricultural Bank of Taiwan, Taiwan
B00143,Agricultural Bank of Zimbabwe, Zimbabwe
B00144,Agricultural Cooperative Bank, Syria
B00145,Agro Bank, Uzbekistan
B00146,Agrobank, Uzbekistan
B00147,Agrofinanzas, Mexico
B00148,Agroindustrijsko Komercijalna Banka, Serbia
B00149,Agroinvestbank, Tajikistan
B00150,Ahli Bank Qatar, Qatar
B00151,Ahli Bank SAOG, Oman
B00152,Ahli International Bank, Lebanon
B00153,Ahli United Bank, Bahrain
B00154,Ahli United Bank Kuwait, Kuwait
B00155,Ahli United Bank UK, United Kingdom
B00156,Aichi Bank, Japan
B00157,Ajman Bank, United Arab Emirates
B00158,Ak Bars Bank, Russia
B00159,AKA Export Finance Bank, Germany
B00160,AKB KyrgyzKramds bank, Kyrgyzstan
