DegreeID,Degrees,ParentDegreeID
D0001,Associate Degree in Administration of Justice,DL0001
D0002,Associate Degree in Advertising,DL0001
D0003,Associate Degree in Agribusiness,DL0001
D0004,Associate Degree in Animal Management,DL0001
D0005,Associate Degree in Architectural Building Engineering Technology,DL0001
D0006,Associate Degree in Architecture and Career Options,DL0001
D0007,Associate Degree in Art,DL0001
D0008,Associate Degree in Automotive Maintenance Technology,DL0001
D0009,Associate Degree in Aviation Mechanics,DL0001
D0010,Associate Degree in Behavioral Science,DL0001
D0011,Associate Degree in Boat Mechanics,DL0001
D0012,Associate Degree in Boat Repair and Maintenance,DL0001
D0013,Associate Degree in Cabinet Design Technology,DL0001
D0014,Associate Degree in Child Development: Program Summary,DL0001
D0015,Associate Degree in Christian Ministry,DL0001
D0016,Associate Degree in Cosmetology Business,DL0001
D0017,Associate Degree in Digital Media,DL0001
D0018,Associate Degree in Early Childhood Special Education,DL0001
D0019,Associate Degree in Elementary Education,DL0001
D0020,Associate Degree in English,DL0001
D0021,Associate Degree in Environmental Science,DL0001
D0022,Associate Degree in Environmental Studies,DL0001
D0023,Associate Degree in General Psychology,DL0001
D0024,Associate Degree in History and Information,DL0001
D0025,Associate Degree in Interdisciplinary Studies,DL0001
D0026,Associate Degree in International Relations,DL0001
D0027,Associate Degree in Landscape Architecture,DL0001
D0028,Associate Degree in Landscaping Design,DL0001
D0029,Associate Degree in Library Science,DL0001
D0030,Associate Degree in Music,DL0001
D0031,Associate Degree in Wildlife Management,DL0001
D0032,Associate Degree in Education,DL0001
D0033,Associate of Applied Science (AAS) in Accelerated Culinary Arts,DL0001
D0034,Associate of Applied Science (AAS) in Accounting Specialist,DL0001
D0035,Associate of Applied Science (AAS) in Administrative Support,DL0001
D0036,Associate of Applied Science (AAS) in Baking and Pastry,DL0001
D0037,Associate of Applied Science (AAS) in Business Administration,DL0001
D0038,Associate of Applied Science (AAS) in Business Administration - Finance,DL0001
D0039,Associate of Applied Science (AAS) in Business Information Systems,DL0001
D0040,Associate of Applied Science (AAS) in Civil Justice - Law Enforcement,DL0001
D0041,Associate of Applied Science (AAS) in Clinical Medical Assisting,DL0001
D0042,Associate of Applied Science (AAS) in Computer Applications,DL0001
D0043,Associate of Applied Science (AAS) in Computer Electronics,DL0001
D0044,Associate of Applied Science (AAS) in Computer Game Design,DL0001
D0045,Associate of Applied Science (AAS) in Computer Information Systems,DL0001
D0046,Associate of Applied Science (AAS) in Culinary Arts,DL0001
